point_res_7,count
609312407579262975,2691
608845295576416255,4636
608803206155206655,554
608819087518203903,1625
608819012524048383,2500
608818970664894463,3254
608818994119442431,1254
608819044618862591,415
608803237226610687,1637
608801857183154175,451
608819059584139263,825
608818986150264831,713
608819012473716735,1355
608801787524153343,14908
608802239217139711,603
608801865001336831,91
608819087652421631,5860
608803218016698367,469
608818998984835071,29473
609313406343708671,14
608845295542861823,167
608801859984949247,1057
608797064016429055,5060
608819072452263935,594
608802707905445887,1109
608802636317065215,2587
608801860706369535,346
608801840221388799,1486
608802373116100607,168
608802629522292735,1908
608819012641488895,51678
608802635729862655,518
608798052228005887,433
608818977761656831,587
608819058040635391,53
608802386034556927,77
609312283494973439,767
608801792272105471,212
608798011358707711,982
608819001836961791,985
609312413619060735,1174
608803220080295935,703
608801857451589631,330
608845299468730367,2661
608818968500633599,1244
609312276448542719,1083
608801865554984959,22647
608819091779616767,1811
608803200484507647,1099
608819043226353663,365
608818973382803455,6509
608819005477617663,183
608818988247416831,359
608818977509998591,1198
608801840187834367,1002
608801813176516607,2210
608818858123329535,605
608801860689592319,449
608801860387602431,659
608802635595644927,322
609313410454126591,3
608801804603359231,1473
608845301012234239,1812
609312412058779647,71
608801794050490367,2253
608819073240793087,26
608802636149293055,1731
608801817001721855,4091
608818978164310015,992
608802661902319615,192
608803196709634047,123
608819091913834495,776
608801794419589119,8
608819077183438847,217
608803285830205439,685
608803197665935359,619
609312351274926079,63
608798052194451455,13238
608798193710268415,124
608818979842031615,1748
608801880218271743,1205
608801794285371391,12641
608819013463572479,2947452
608801862283427839,416
608844345533005823,521
609312283394310143,546
608802241079410687,1252
609312287353733119,80
608801856260407295,316
608802242757132287,82
608844285420240895,322
608801796684513279,1719
608818979305160703,1332
608803200065077247,285
609312411991670783,187
608818971151433727,1264
608802344141848575,2648
608845317923667967,20
608801794218262527,8141
608818994320769023,1315
608802239200362495,571
608801791366135807,3041
608798162890522623,205
608802244350967807,886
608801836530401279,3
608819074012545023,366
608801863122288639,37
608801844717682687,1321
608803205014355967,546
608801832889745407,672
608819012456939519,20492
608845302253748223,9
608819017422995455,565
608819005225959423,2187
608801843308396543,689
608818980446011391,3319
608819050323116031,140
608819011668410367,665
608818984824864767,479
608803201893793791,1053
608803201189150719,1936
608802630025609215,89
609313108699119615,1
608802693661589503,1165
608819083307122687,569
609312292135239679,67
608845333627142143,1747
608801858022014975,62
608845331110559743,794
608801806213971967,1096
608803211523915775,637
608802453629960191,23
608802241096187903,184
608802081762967551,430
609313167117385727,75592
608803220197736447,671
609313442280505343,7
608802797479002111,69
608803273868050431,48
608802661935874047,227
608802442087235583,67
608801861243240447,77
608819060053901311,1446
608802632441528319,1344
608801865353658367,9844
608818972191621119,553
608819080371109887,292
608819083642667007,688
608818980378902527,2817
608798167940464639,1080
608818995595837439,1323
608819048611839999,344
608801813344288767,2228
609312001671299071,9023
608801858508554239,631
608802648010784767,291
608802621184016383,49
608819013430018047,18240
608818972896264191,1443
608803205131796479,7065
608818980865441791,1851
608818982710935551,2896
608845300794130431,3106
608801833124626431,1245
608801836027084799,15
609312277086076927,2435
608801789554196479,1007
608819087702753279,1014
608801858290450431,1396
608798043906506751,164
608819090252890111,284
608819044753080319,193
608798029796868095,34
608798192183541759,84
608798021257265151,29
608801832453537791,1267
608802647591354367,288
609312284837150719,292
609312407747035135,249
608801871913549823,701
608798149133205503,13
608818976100712447,304
608818925534183423,358
608802797999095807,42
609312411891007487,356
608798008322031615,96
608797103409332223,193
608798045785554943,80
608798164366917631,250
608802372763779071,98
608845300894793727,147
608801881862438911,4
608798047983370239,62
608819059986792447,15
609312317284286463,56
609312122635026431,126
608819091544735743,213
608818910501797887,80
608801866611949567,640
608801861612339199,5277
608802239821119487,110
608819055658270719,403
608803209795862527,133
608798016408649727,353
608818982459277311,705
